Start,End,Date Time,Survey Location,Include National,,Community,Rurality,Expert Type,Expert Type.other,Gender,Expert Title,Name of Organization,Type.Human Rights,Type.Sexual and Gender Based Violence,Type.Health and Reproductive Rights,Type.Land,Type.Economic and Financial Services,Type.Agriculture,Type.Education,Type.Local Community Participation,Type.Other,Type.NA,Type.Describe Other,WInfo.To be Treated Equally with All Others,Winfo.To be Free from Violence,WInfo.To be able to Join Groups,Winfo.Right to go Court if any Rights are Violated,Winfo.Right to Education,Winfo.Right_ to Own Property,Winfo.Right to Information,Winfo.Right to Work under Reasonable Hours,"Seminal:Same F,E,RoS as men?",Seminal.Explain,Women Interested in Information,Women Interested in Information.why,Women Interested National Gov,Women Interested National Gov.why,Women Interested Local Gov,Women Interested Local Gov.why,Info.National Government Office,Info.Local Government Office,Info.Local/Community NGOs,Info.Educational Institutions,Info.Places of Worship/Religious,Info.Traditional Leaders,Info.Village Elders,Info.Husband,Info.Other Family Members,Info.Friends,Info.Radio,Info.Television,Info.Newspaper,Info.Town Crier,Info.Internet/Cell Phone,Info.Other,Info.OtherExplain,Issue.Don't Know Where to Ask,Issue.Fear of Asking,Issue.Domestic Duties,Issue.Getting to Public Offices (Distance),Issue.Family Nonsupportive,Issue.Confidence,Issue.Mindset of Gov Offical,Issue.Illiteracy,Issue.Women Ignored in Public,Issue.Language,Issue.Culturally Not Allowed,Issue.Safety Concerns,Issue.Information not Important to Women,Issue.Women Not Allowed in Public,Issue.Other,Issue.Other Explain ,Original Barrier 1,Barrier 1,Original Barrier 2,Barrier 2,Original Barrier 3,Barrier 3,Possible Solutions,"Consequence of less awareness for women
",How Important.Rights,Rights.Freedom from Violence,Rights./Property Ownership/Land Rights,Rights.How the Justice System Works,Rights.Labor Law/Rights,Rights.Public Participation,Rights.Education,Rights.Marital.Family Rights,Rights.Health and Reproductive Rights,Rights.Freedom of Expression,Rights.Right to Information,Rights.Social Services,Rights.Anti-Discrimination,Rights.Please Explain,How important.Econ,Econ.Access to Banks,Econ.Vocational Training,Econ.Technology Training,Econ.Educational Opportunities,Econ.Job Opportunities,Econ.Land/Property Ownership,Econ.Scholarships,Econ.How to Start a Buisness,Econ.How to Get a Trade License,Econ.Social Development Funds,Econ.Please Explain,Original Most Important,Most Important,Original Second Most Important,Second Most Important,Original Third Most Important,Third Most Important,Anything Else,Enumerator Notes,Other Thoughts,__version__,meta/instanceID,_id,_uuid,_submission_time,_date_modified,_tags
2023-02-08T12:24:22.659Z,2023-02-08T12:56:49.723Z,2023-02-08T12:24:00.000Z,Port Loko,1,0.170369229,Sierra Leone Red Cross Society,Urban,NGO/International Community,n/a,Male,District Coordinator ,Sierra Leone Red Cross Society ,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,n/a,Somewhat,Very,Very,Very,Very,Very,Very,Very,No,Because most women's are not giving the equal opportunity compare to men in access information either because of Religious beliefs or culture ,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,n/a,Small Barrier,Small Barrier,Don't Know,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Large Barrier,Not a Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Not a Barrier,Gratitude ,Cost of transportation ,Illiteracy ,Illiteracy,Family members not supportive ,Family Nonsupportive,Confidence ,Confidence,Sentization on the importance of women's access information ,Less improvement for that particular community by extension county as large ,Very Important,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,These information will help women's to take ownership of the whatever they are up for if given the equal opportunity ,Very Important,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,Enable more women's to access information partaining public and take ownership of that particular information ,How to start Business ,How to Start a Buisness,Getting business license ,How to Get a Trade License,Scholarship ,Scholarships,No,n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:4cbfc5e2-a4b9-4fff-aa98-d9e9e7f5f2f9,109099550,4cbfc5e2-a4b9-4fff-aa98-d9e9e7f5f2f9,2023-02-08T15:44:49,2023-02-08T15:44:49,
2023-02-08T12:30:32.021Z,2023-02-08T13:34:32.262Z,2023-02-08T14:50:00.000Z,Port Loko,1,0.181786975,EBKUST Campus port Loko city,Urban,Academic Professor,n/a,Male,Acting Head of Department social studies,EBKUST Campus port Loko city,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,n/a,Very,Very,Very,Very,Very,Very,Very,Very,Yes,According to constitution of sierra Leone everyone is having equal opportunity to access information partaining public and also ask public officer's about public information ,Yes,n/a,Yes,n/a,n/a,n/a,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,n/a,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Not a Barrier,Pulling down syndrome with women's ,n/a,Illiteracy ,Illiteracy,Coast of getting to Public offices travel ,Getting to Public Offices (Distance),Mindset of some Government officials ,Mindset of Gov Offical,Education ,Women's will not be included in leadership and decision making and it will also led to back drop of country ,Very Important,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,Women's Having equal opportunity as men will help to improve particular community ,Very Important,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,Self pride ,Access to loans ,Access to Banks,Start Business ,How to Start a Buisness,Scholarship ,Scholarships,Courageous ,Sentization ,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:11abec45-488c-43c9-98e9-79314451d51a,109099551,11abec45-488c-43c9-98e9-79314451d51a,2023-02-08T15:44:50,2023-02-08T15:44:50,
2023-02-09T08:56:43.032Z,2023-02-09T14:21:45.294Z,2023-02-09T09:17:00.000Z,Port Loko,1,0.196674243,Human Rights commission office Port Loko city,Urban,Government Official,n/a,Male,Human Rights Officer,Human Rights commission of sierra leone,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,n/a,Very,Very,Very,Very,Very,Very,Very,Very,Yes,For us at the Human Rights commission of sierra leone it constitutional mandate and it must all Citizens have the equal protection in decision making when it comes to access information,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,n/a,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Not a Barrier,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Not a Barrier,Small barrier coordination among women's,"Culture, Religious beliefs, transportation",Culture,Culturally Not Allowed,Religious beliefs,Culturally Not Allowed,Getting to Public offices transportation,Getting to Public Offices (Distance),Awareness raising,Slow improvement,Very Important,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,"Right to access information will help women's to take ownership and also involve in decision making ,Free from violence , right to access quality Education",Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,When women's are self employed and empowered with business skills and have educational opportunities to further she will be included in leadership and also yin decision making,How to start Business,How to Start a Buisness,Educational opportunities,Education,Access to loans,Access to Banks,Women's access public information will help women's to stand up for their rights and also speak for what is meant for the community,Jingle to be play on Radio parting women's access information,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:6e91b393-a0fa-4fff-a84a-db3719e8f019,109133661,6e91b393-a0fa-4fff-a84a-db3719e8f019,2023-02-09T14:23:59,2023-02-09T14:23:59,
2023-02-09T11:03:33.172Z,2023-02-09T14:22:51.826Z,2023-02-09T11:23:00.000Z,Port Loko,1,0.311408425,Ministry of Agriculture,Urban,Government Official,n/a,Male,District Agricultural Officer,Ministry of Agriculture,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,n/a,Somewhat,Somewhat,Somewhat,Very,Very,Very,Somewhat,Very,Yes,Since it constitutional rights every Citizens have equal opportunity to access information,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,n/a,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Not a Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Not a Barrier,Large Barrier Unity and oneness,n/a,Culture,Culturally Not Allowed,Language,Language,Illiteracy,Illiteracy,Education,No further improvement will happen with in that community and it will some women's to take active part in leadership and decision making,Very Important,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Very Important,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,This activities will enable women's to take ownership of what ever they are doing regarding family assistance and public association,Educational opportunities,Education,Vocational training,Vocational Training,How to start Business,How to Start a Buisness,Women's access information will enable them to be self pride,Public lectures on the importance of women's access information,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:99343540-e6f8-4689-9b52-d0d1217cc8ce,109133662,99343540-e6f8-4689-9b52-d0d1217cc8ce,2023-02-09T14:24:00,2023-02-09T14:24:00,
2023-02-09T16:36:25.585Z,2023-02-09T18:14:59.893Z,2023-02-09T17:16:00.000Z,Bo,1,0.132791292,Bo Town,Urban,Government Official,n/a,Male,Communication Officer,Bo City Council,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,n/a,Very,Very,Very,Very,Very,Very,Very,Very,Yes,My institution caters for all within its jurisdiction and as such does not withhold information from anyone regardless gender,Yes,n/a,No,n/a,Yes,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,n/a,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Don't Know,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Large Barrier,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Their participation in community issues lack,Very Important,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"If they are educated on all the other rights and how to uphold those rights, that can aid them safeguard all other rights",Very Important,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Women having access to loan it will help them to develop economically. ,Access to loans ,Access to Banks,Job opportunities ,Job Opportunities,N/A,n/a,Women in rural communities need to be empowered ,I think it's okay,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:5e3b088d-5e40-439b-a7ca-bff98c0ebf78,109140213,5e3b088d-5e40-439b-a7ca-bff98c0ebf78,2023-02-09T18:15:32,2023-02-09T18:15:32,
2023-02-10T10:34:57.736Z,2023-02-10T11:18:27.683Z,2023-02-10T11:31:00.000Z,Bo,1,0.570694234,"Bo Town
",Urban,NGO/International Community,n/a,Male,Executive Director,Union for Reformation and Development of Youth Sierra Leone,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Very,Very,Somewhat,Somewhat,Very,Somewhat,Somewhat,Very,No,Because women are less employed compare to me. It's difficult for them to access public information,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,None,n/a,Confidence,Confidence,House work and chores,Domestic Duties,Illteracy,Illiteracy,"Increase public awareness and sensitization
",Illteracy,Very Important,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,The Right to information will be able to help the women,Very Important,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,It will help them to increase economic status,Right to information,Right to Information,Small Business,How to Start a Buisness,Vocational Training Center,Vocational Training,No,n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:2963b6cc-9e62-4bcd-81a1-257f39768b53,109158001,2963b6cc-9e62-4bcd-81a1-257f39768b53,2023-02-10T11:18:45,2023-02-10T11:18:45,
2023-02-10T11:35:16.025Z,2023-02-10T12:01:55.839Z,2023-02-08T10:26:00.000Z,Kallahun,1,0.900682006,Kissey town ,Rural,NGO/International Community,n/a,Female,Program officer ,Send Sierra Leone ,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,n/a,Very,Very,Very,Very,Very,Very,Very,Very,Yes,Kind of position you find your self and the you are working can make woman access to government and information ,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,n/a,Not a Barrier,Small Barrier,Not a Barrier,Large Barrier,Small Barrier,Large Barrier,Not a Barrier,Small Barrier,Don't Know,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,Not a Barrier,No barrier ,n/a,Educational opportunities ,Illiteracy,Right to public participation including decision making ,Women Not Allowed in Public,Very important ,n/a,For developmental purpose ,n/a,Very Important,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,When you educate one woman you educate the nation because most women can be influenced by their fellow women for example a woman will seat and say if my friend can do that why can't I do that women can be motivated by that ,Very Important,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Right to free expression ,Very important ,n/a,Very easy ,n/a,Very familiar ,n/a,Partnership in the country ,The intelligence of the woman make believe that she is a great influence to most women and she have influence most women to stand for their right ,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:64c598a1-27a1-4225-a216-e1b6ccf6634e,109158938,64c598a1-27a1-4225-a216-e1b6ccf6634e,2023-02-10T12:02:09,2023-02-10T12:02:09,
2023-02-10T11:38:13.838Z,2023-02-10T12:18:26.072Z,2023-02-10T11:49:00.000Z,Bo,1,0.849704064,Bo,Urban,Other,Civil Society ,Male,Chairperson ,Bo District Civil Society ,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,n/a,Very,Very,Very,Somewhat,Somewhat,Very,Very,Somewhat,No,So what,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,n/a,Large Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Large Barrier,Not a Barrier,Small Barrier,Not a Barrier,More public education ,n/a,Illteracy ,Illiteracy,Domestic Duties men are not supporting their wives,Domestic Duties,Culture barriers are there limiting women,Culturally Not Allowed,More public education ,Development of the nation will be very slow ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,The rights are all important for the protection and promotion of women's right. If the are lacking it will affect the women. ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,It's all important for the economic empowerment of women ,Education ,Education,Health issues ,Health and Reproductive ,Banks loans andVillage Savings and Loans. ,Access to Banks,n/a,She has more knowledge on the women's issues ,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:5e7fceda-c4f1-425c-a984-d43ac344de45,109159455,5e7fceda-c4f1-425c-a984-d43ac344de45,2023-02-10T12:18:34,2023-02-10T12:18:34,
2023-02-10T12:32:17.455Z,2023-02-10T12:58:40.590Z,2023-02-10T12:59:00.000Z,Bo,1,0.298277217,Bo Town ,Urban,NGO/International Community,n/a,Male,Executive Director ,Movement Towards Peace and Development Agency (MoPADA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,WASH and Climate Change ,Very,n/a,Very,Very,Very,Very,Very,Very,No,"The women needs to work on their confidence. 

Men don't want to open up to women. ",Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Don't Know,Large Barrier,Large Barrier,Large Barrier,Large Barrier,Don't Know,Small Barrier,Don't Know,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Not a Barrier,None ,n/a,Illteracy is a serious barrier some women fell inferior ,Illiteracy,Domestic work is another serious barrier ,Domestic Duties,Lack of confidence and low self esteem is also a barrier. ,Confidence,More public education and sensitization ,It affects national development ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,The listed are importants for the development of women ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,All of the above can help for women empowerment ,Education ,Education,Bank and loans,Access to Banks,Small Business ,How to Start a Buisness,The Access to information commission should increase public education ,More interested in women's emy,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:65b22381-6566-466e-b441-015c949db061,109160632,65b22381-6566-466e-b441-015c949db061,2023-02-10T12:58:50,2023-02-10T12:58:50,
2023-02-10T13:04:43.701Z,2023-02-10T13:23:34.738Z,2023-02-10T13:24:00.000Z,Bo,1,0.109728157,Bo,Urban,Government Official,n/a,Male,Deputy Director - Southern ,Human Rights Commission ,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,n/a,Very,Very,Very,Very,Very,Very,Very,Very,Yes,"Yes, but to as men",Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,n/a,Not a Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Small Barrier,Large Barrier,Small Barrier,Don't Know,Small Barrier,Illiteracy ,n/a,Fear for reprisal ,Fear of Asking,Illiteracy ,Illiteracy,Mobility and Cost,Getting to Public Offices (Distance),"Women to be educated and build their capacity. 

Give Women financial opportunities ","Limited participation and discrimination of group in social, economic and political ",Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,They are importants because it's touches the development ,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,All of the above highilited are good for women economic empowerment ,SME small ,How to Start a Buisness,Opportunities to Education ,Education,Access to Bank loans,Access to Banks,More sensitization for women on the Access to Information Acts,None ,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:365636d9-ab11-49ed-8c29-ccb7db3ace6d,109161414,365636d9-ab11-49ed-8c29-ccb7db3ace6d,2023-02-10T13:24:28,2023-02-10T13:24:28,
2023-02-10T13:37:48.750Z,2023-02-10T14:06:30.057Z,2023-02-10T13:57:00.000Z,Bo,1,0.366521297,Bo,Urban,Government Official,n/a,Male,District Agricultural Officer,Ministry of Agriculture ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,n/a,Very,Very,Very,Very,Very,Very,Very,Very,No,We don't have equal placement job opportunity and access to information ,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,n/a,Not a Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Not a Barrier,Large Barrier,Not a Barrier,Not a Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,n/a,n/a,Domestic Duties ,Domestic Duties,Illiteracy ,Illiteracy,Lack of confidence ,Confidence,Improve on their level of education ,The women will not partiii,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,All of them are importants ,Very Important,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,It will help them to develop economically ,Bank loans ,Access to Banks,Education ,Education,SME,How to Start a Buisness,n/a,n/a,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:7193cf4e-1cbd-4e92-9663-e1f70cd72be5,109163029,7193cf4e-1cbd-4e92-9663-e1f70cd72be5,2023-02-10T14:06:39,2023-02-10T14:06:39,
2023-02-10T12:17:40.110Z,2023-02-10T19:21:56.457Z,2023-02-10T12:17:00.000Z,Port Loko,1,0.787516168,n/a,Urban,NGO/International Community,n/a,Male,Chairman CSO Port Loko city,Civil Society,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,n/a,Somewhat,Somewhat,Very,Somewhat,Very,n/a,Very,Very,Yes,It constitutional rights for all Citizens,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,n/a,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Not a Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Not a Barrier,More sentization,n/a,Domestic duties,Domestic Duties,Coast of transportation getting to Public offices,Getting to Public Offices (Distance),Illiteracy,Illiteracy,Community awareness raising about the importance of women's access information and it values to women's,Poor coordination among women's less involvement,Very Important,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,These information will help women's to be included in leadership and decision making with in the community,Very Important,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,How to start Business,Educational opportunities,Education,Land ownership and property,Land/Property Ownership,Access to loans,Access to Banks,Unity among women's will help to achieve more access to information,Radio Airtime about the importance of women's access information,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:44dff38f-9954-4c2b-b31d-a693a5ea26f3,109171845,44dff38f-9954-4c2b-b31d-a693a5ea26f3,2023-02-10T20:49:19,2023-02-10T20:49:19,
2023-02-10T12:50:12.081Z,2023-02-10T20:22:55.977Z,2023-02-10T14:14:00.000Z,Port Loko,1,0.197214997,Port Loko Regional Police Department ,Urban,Government Official,n/a,Male,Assistance Inspection ,Sierra Leone Police ,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,n/a,Very,Very,Very,Very,Very,Very,Very,Very,Yes,It right for all Citizens to acquire peaceful information with in the laws of sierra leone ,Yes,n/a,Yes,n/a,Yes,n/a,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,n/a,Small Barrier,Small Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Small Barrier,Large Barrier,Not a Barrier,Large Barrier,Large Barrier,Small Barrier,Not a Barrier,Not a Barrier,Unity ,n/a,Domestic duties ,Domestic Duties,Family members support ,Family Nonsupportive,Illiteracy ,Illiteracy,Sentization in different languages about the importance of women's access to information ,The consequences will be as follow no better improvement ,Very Important,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,n/a,Very Important,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,"Educational opportunities and access to loans will help women's to take ownership of information regarding the community and the country as large it also helps to be self reliance, industries take lead of women's issues ",n/a,n/a,n/a,n/a,n/a,n/a,n/a,Equal opportunity should be given to allow More women's partaining in public information ,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:37c7f3c6-14b0-4903-adf5-dfd14b5632dd,109171846,37c7f3c6-14b0-4903-adf5-dfd14b5632dd,2023-02-10T20:49:20,2023-02-10T20:49:20,
2023-02-10T12:52:21.388Z,2023-02-10T19:37:50.898Z,2023-02-10T16:24:00.000Z,Port Loko,1,0.554010548,NACSA office Port Loko District,Urban,Government Official,n/a,Female,District coordination NACSA Port Loko ,NACSA ,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,No,Most of the Ministry Department Agency {MDA} are headed by Men so it sometimes difficult for women's to access information quickly ,Yes,n/a,Yes,n/a,Yes,n/a,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,n/a,Don't Know,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Small Barrier,Large Barrier,Not a Barrier,Large Barrier,Large Barrier,Large Barrier,Small Barrier,Not a Barrier,Collaboration among women's group ,n/a,Illiteracy ,Illiteracy,Culture ,Culturally Not Allowed,Language ,Language,Door to Door sentization on the importance of women's access information ,n/a,Very Important,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Very Important,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,Access to loans will enable women's to be self employed and economical empowered ,Access to loans ,Access to Banks,Start Business ,How to Start a Buisness,Educational opportunities ,Education,No,Education ,n/a,vzDogTF4K4rZB6rUJRhmkz,uuid:2452d197-5d65-4897-82ce-e0f4fd3f3d3d,109171847,2452d197-5d65-4897-82ce-e0f4fd3f3d3d,2023-02-10T20:49:20,2023-02-10T20:49:20,
